,channelName,subscribers,views,totalVideos,playlistId,publishedAt
0,MONEY TALKS WIRELESS,4890000,2506697826,1458,UUe8D5lo_zrqS8xtsNspeCgg,2015-04-25 23:51:53+00:00
1,Rare Earth,1060000,171292105,211,UUtGG8ucQgEJPeUPhJZ4M4jA,2012-12-12 12:31:44+00:00
2,Naked Science,1370000,316873448,394,UU8JT2m0mKEgvEtie3JNKwew,2009-10-27 16:58:57+00:00
3,TheBackyardScientist,5840000,871069552,182,UU06E4Y_-ybJgBUMtXx8uNNw,2013-04-01 16:41:52+00:00
4,ElectroBOOM,6390000,686667717,240,UUJ0-OtVpF0wOKEqT2Z1HEtA,2007-06-23 21:17:43+00:00
5,MinuteEarth,2820000,439081302,350,UUeiYXex_fwgYDonaTcSIk6w,2011-10-20 02:21:51+00:00
6,Fireship,2660000,349395332,598,UUsBjURrPoezykLs9EqgamOA,2017-04-07 18:17:23+00:00
7,Tech Boss,4350000,1305943209,1621,UUnKhQkCUS1oCEvjuTfU4xIw,2018-04-12 04:49:58+00:00
8,AWE me,7440000,969124461,432,UUNKcMBYP_-18FLgk4BYGtfw,2013-01-11 01:42:36+00:00
9,My Primary Solution,3570000,187601393,1322,UU7nz6QUPAbGcE6r8bhvK8Hw,2016-12-03 23:23:32+00:00
